id,student_count,pv_kw_t,bat_kw_t
2435,19.99,120,172.800003051758
480,20.99,132,230.399993896484
2947,23.33,120,172.800003051758
3041,23.91,108,172.800003051758
2590,39.97,120,172.800003051758
2719,41.13,120,172.800003051758
166,43.24,132,230.399993896484
947,43.85,144,201.600006103516
1122,47.27,132,230.399993896484
1746,48.03,120,172.800003051758
2415,50.53,120,172.800003051758
56,50.55,156,201.600006103516
152,50.91,132,230.399993896484
2297,51.09,120,172.800003051758
2708,51.48,120,172.800003051758
2214,58.46,120,172.800003051758
58,58.77,156,201.600006103516
2804,62.44,120,172.800003051758
2318,62.92,120,172.800003051758
2809,63.89,120,172.800003051758
2335,63.91,120,172.800003051758
2981,64.7,144,172.800003051758
2428,65.89,120,172.800003051758
3003,69.16,108,172.800003051758
2874,70.78,120,172.800003051758
2659,75.25,120,172.800003051758
162,78.6,132,230.399993896484
92,80.6,156,201.600006103516
2421,82.01,120,172.800003051758
685,83.61,144,201.600006103516
677,84.36,144,201.600006103516
2710,85.41,120,172.800003051758
2658,86.22,120,172.800003051758
687,86.59,132,230.399993896484
2790,88.93,120,172.800003051758
2591,90.13,120,172.800003051758
501,91.68,132,230.399993896484
2257,92.07,120,172.800003051758
3046,94.28,108,172.800003051758
179,94.42,132,230.399993896484
2306,98.76,120,172.800003051758
2429,100.58,120,172.800003051758
150,101.29,144,201.600006103516
442,102,132,230.399993896484
2240,105.94,120,172.800003051758
463,106.14,132,230.399993896484
2413,107.75,120,172.800003051758
60,108.52,156,201.600006103516
1193,110.46,132,230.399993896484
933,114.31,120,259.200012207031
2296,114.65,120,172.800003051758
835,114.79,132,230.399993896484
2130,115.03,132,172.800003051758
1088,116.55,144,201.600006103516
1561,118.88,132,201.600006103516
293,119.43,132,230.399993896484
1895,120.02,120,172.800003051758
618,121.36,132,230.399993896484
2302,122.09,120,172.800003051758
2656,122.27,120,172.800003051758
2939,122.56,120,172.800003051758
838,124.06,132,230.399993896484
1590,125.98,120,172.800003051758
2451,128.64,120,172.800003051758
2599,129,120,172.800003051758
1826,129.35,120,172.800003051758
2238,129.71,120,172.800003051758
2887,130.18,120,172.800003051758
2941,130.3,108,172.800003051758
1892,130.7,120,172.800003051758
1194,131.66,144,201.600006103516
1780,131.92,120,172.800003051758
2750,136.26,120,172.800003051758
596,139.94,144,201.600006103516
1212,140.16,144,201.600006103516
2333,141.21,120,172.800003051758
143,141.54,144,201.600006103516
807,141.55,144,201.600006103516
1126,147.68,132,230.399993896484
1916,147.92,120,172.800003051758
2959,148.33,120,172.800003051758
2622,149.16,120,172.800003051758
3010,149.51,144,172.800003051758
1609,149.66,120,172.800003051758
2821,149.88,120,172.800003051758
2894,150.82,120,172.800003051758
2461,150.86,120,172.800003051758
2255,151.1,120,172.800003051758
622,153.83,132,230.399993896484
1079,153.83,144,201.600006103516
2903,155.02,120,172.800003051758
48,156.3,156,201.600006103516
1848,158.24,120,172.800003051758
1192,162.51,132,230.399993896484
2785,163.04,120,172.800003051758
2210,163.09,120,172.800003051758
2711,164.37,120,172.800003051758
1071,164.58,144,201.600006103516
1896,167.1,120,172.800003051758
1588,167.29,120,172.800003051758
943,170.33,144,201.600006103516
2796,172.75,120,172.800003051758
507,172.88,132,230.399993896484
18,173.31,156,201.600006103516
3024,174.9,132,172.800003051758
2747,176.35,120,172.800003051758
2220,177.41,120,172.800003051758
410,178.9,144,201.600006103516
1111,180.06,132,230.399993896484
2261,180.5,120,172.800003051758
374,181.76,132,230.399993896484
2208,183.66,120,172.800003051758
649,184.49,144,201.600006103516
1048,185.49,132,230.399993896484
272,185.99,132,230.399993896484
50,186.04,156,201.600006103516
5,187.54,156,201.600006103516
897,189.18,144,201.600006103516
1095,189.79,144,201.600006103516
1242,190.01,144,230.399993896484
2990,190.11,120,172.800003051758
937,191.33,144,201.600006103516
23,191.48,156,201.600006103516
2878,192.2,120,172.800003051758
1928,192.57,120,172.800003051758
247,193.46,132,230.399993896484
177,193.49,132,230.399993896484
2743,194.31,120,172.800003051758
2244,196.55,120,172.800003051758
1640,197.33,120,172.800003051758
1422,199.59,144,230.399993896484
3016,199.66,108,172.800003051758
2299,199.78,120,172.800003051758
10,202.8,156,201.600006103516
2570,204.93,120,172.800003051758
3044,207.99,108,172.800003051758
2588,208.93,120,172.800003051758
679,210.64,132,230.399993896484
599,210.76,144,201.600006103516
1373,211.64,144,230.399993896484
1616,211.73,120,172.800003051758
2565,212.77,120,172.800003051758
1856,213.38,120,172.800003051758
254,213.64,132,230.399993896484
99,216.46,156,201.600006103516
1028,217.15,144,201.600006103516
2817,217.7,120,172.800003051758
1484,218.59,144,230.399993896484
