id,student_count,pv_kw_t,bat_kw_t,demand_e,pv_kw_e,bat_kw_e,capex,capex_oem,npv_e,npv_demand_e,lcoe_e,opex,co2_e
2435,19.99,120,172.800003051758,840.0,0.92,1.33,1308.25,26.17,1960.24,11308.26,0.1733,42.46,0.2772
480,20.99,132,230.399993896484,840.0,1.01,1.77,1537.21,30.74,2353.95,11308.26,0.2082,52.42,0.2772
2947,23.33,120,172.800003051758,840.0,0.92,1.33,1308.25,26.17,1960.24,11308.26,0.1733,42.46,0.2772
3041,23.91,108,172.800003051758,840.0,0.83,1.33,1222.67,24.45,1853.22,11308.26,0.1639,40.74,0.2772
2590,39.97,120,172.800003051758,840.0,0.92,1.33,1308.25,26.17,1960.24,11308.26,0.1733,42.46,0.2772
2719,41.13,120,172.800003051758,840.0,0.92,1.33,1308.25,26.17,1960.24,11308.26,0.1733,42.46,0.2772
166,43.24,132,230.399993896484,840.0,1.01,1.77,1537.21,30.74,2353.95,11308.26,0.2082,52.42,0.2772
947,43.85,144,201.600006103516,840.0,1.1,1.55,1551.11,31.02,2317.44,11308.26,0.2049,50.01,0.2772
1122,47.27,132,230.399993896484,840.0,1.01,1.77,1537.21,30.74,2353.95,11308.26,0.2082,52.42,0.2772
1746,48.03,120,172.800003051758,840.0,0.92,1.33,1308.25,26.17,1960.24,11308.26,0.1733,42.46,0.2772
2415,50.53,120,172.800003051758,606.36,0.66,0.96,940.44,18.81,1410.05,8162.95,0.1727,30.57,0.2001
56,50.55,156,201.600006103516,606.6,0.86,1.12,1182.77,23.66,1752.03,8166.18,0.2145,37.38,0.2002
152,50.91,132,230.399993896484,610.92,0.74,1.29,1124.05,22.48,1720.25,8224.33,0.2092,38.28,0.2016
2297,51.09,120,172.800003051758,613.08,0.67,0.97,953.21,19.06,1428.39,8253.41,0.1731,30.94,0.2023
2708,51.48,120,172.800003051758,617.76,0.68,0.97,962.72,19.25,1440.27,8316.42,0.1732,31.13,0.2039
2214,58.46,120,172.800003051758,701.52,0.77,1.11,1093.93,21.88,1638.55,9444.01,0.1735,35.48,0.2315
58,58.77,156,201.600006103516,705.24,1.0,1.3,1374.56,27.49,2035.65,9494.09,0.2144,43.42,0.2327
2804,62.44,120,172.800003051758,749.28,0.82,1.18,1164.28,23.29,1743.62,10086.96,0.1729,37.74,0.2473
2318,62.92,120,172.800003051758,755.04,0.83,1.19,1177.05,23.54,1761.96,10164.51,0.1733,38.12,0.2492
2809,63.89,120,172.800003051758,766.68,0.84,1.21,1193.08,23.86,1786.88,10321.21,0.1731,38.68,0.253
2335,63.91,120,172.800003051758,766.92,0.84,1.21,1193.08,23.86,1786.88,10324.44,0.1731,38.68,0.2531
2981,64.7,144,172.800003051758,776.4,1.02,1.23,1370.76,27.42,2013.82,10452.06,0.1927,42.49,0.2562
2428,65.89,120,172.800003051758,790.68,0.87,1.25,1234.64,24.69,1848.58,10644.3,0.1737,40.0,0.2609
3003,69.16,108,172.800003051758,829.92,0.82,1.31,1206.64,24.13,1828.3,11172.56,0.1636,40.18,0.2739
2874,70.78,120,172.800003051758,849.36,0.93,1.34,1321.02,26.42,1978.57,11434.26,0.173,42.83,0.2803
2659,75.25,120,172.800003051758,903.0,0.99,1.43,1407.41,28.15,2108.57,12156.38,0.1735,45.67,0.298
162,78.6,132,230.399993896484,943.2,1.14,1.98,1729.27,34.59,2645.44,12697.56,0.2083,58.84,0.3113
92,80.6,156,201.600006103516,967.2,1.38,1.78,1892.32,37.85,2800.11,13020.65,0.2151,59.65,0.3192
2421,82.01,120,172.800003051758,984.12,1.08,1.55,1532.09,30.64,2293.68,13248.43,0.1731,49.63,0.3248
685,83.61,144,201.600006103516,1003.32,1.32,1.85,1858.08,37.16,2774.43,13506.9,0.2054,59.82,0.3311
677,84.36,144,201.600006103516,1012.32,1.33,1.86,1870.84,37.42,2792.88,13628.06,0.2049,60.21,0.3341
2710,85.41,120,172.800003051758,1024.92,1.12,1.62,1592.94,31.86,2386.89,13797.69,0.173,51.71,0.3382
2658,86.22,120,172.800003051758,1034.64,1.13,1.63,1605.71,32.11,2405.22,13928.54,0.1727,52.08,0.3414
687,86.59,132,230.399993896484,1039.08,1.25,2.19,1902.3,38.05,2913.04,13988.31,0.2082,64.88,0.3429
2790,88.93,120,172.800003051758,1067.16,1.17,1.68,1660.04,33.2,2485.39,14366.33,0.173,53.78,0.3522
2591,90.13,120,172.800003051758,1081.56,1.19,1.71,1688.83,33.78,2528.75,14560.19,0.1737,54.73,0.3569
501,91.68,132,230.399993896484,1100.16,1.33,2.31,2017.48,40.35,3086.28,14810.59,0.2084,68.65,0.3631
2257,92.07,120,172.800003051758,1104.84,1.21,1.74,1717.63,34.35,2572.01,14873.59,0.1729,55.66,0.3646
3046,94.28,108,172.800003051758,1131.36,1.12,1.79,1648.34,32.97,2497.77,15230.61,0.164,54.9,0.3733
179,94.42,132,230.399993896484,1133.04,1.37,2.38,2078.32,41.57,3179.47,15253.22,0.2084,70.72,0.3739
2306,98.76,120,172.800003051758,1185.12,1.3,1.87,1845.57,36.91,2763.7,15954.33,0.1732,59.82,0.3911
2429,100.58,120,172.800003051758,1206.96,1.32,1.9,1874.37,37.49,2807.08,16248.35,0.1728,60.77,0.3983
150,101.29,144,201.600006103516,1215.48,1.6,2.24,2251.42,45.03,3361.39,16363.05,0.2054,72.47,0.4011
442,102.0,132,230.399993896484,1224.0,1.48,2.58,2248.1,44.96,3440.5,16477.75,0.2088,76.57,0.4039
